26.01.2022	Weißöl/LuftZeit	TIT-01b	TIT-02a	TIT-02b	TIT-03a	TIT-03b	TIT-04a	TIT-04b	TIT-05	TIT-06	TIT-07	TIT-08	TIT-11	TIT-13	TIT-14	TIT-15	TIT-16	TITC-1	TITC-2	PIT-01	PIT-02	PIT-03a	leer	PIT-04a E+H abs	PIT-04b	PIT-04c	PIT-05	PIT-06	PIT-07	PIT-08	PIT-09	PIT-10	PIT-11	PIT-13	PIT-14	PDI-04 [Pa] 	leer	PDI-01 [Pa]	PIT-03b [Pa]	FIT-001[m³/h]	FIT-002 [m³/h]	FIT-003 [m³/h]	FIT-004 [m³/h]	FIT-005 [m³/h]	LIT-001	LIT-002	LIT-004	TMMP-1	TMMP-2	PMMP-1	PMMP-2	M(MPP)	n(MPP)	LIT(MPP)	M_dot (FIT002) [kg/s]	M_dot (FIT005) [kg/s]	eta_th	eta_vol	alpha	Vestrichene Zeit10:00:49,328	20,258	23,740	23,631	-24,942	23,481	-0,001	24,912	23,799	22,587	23,088	22,971	-24,893	23,075	23,832	23,056	23,104	15,226	17,090	1,015	-0,050	1,051	-5,014	-3,993	-0,200	-4,994	8,507	1,397	1,685	1,122	1,312	1,115	1,074	1,108	1,129	-15003,256	-2500,044	-76,214	1,059	0,943	7,213	4,912	0,520	7,020	16,362	41,244	25,534	23,585	23,911	0,992	8,814	109,623	999,959	-25,008	1,703	1,658	NaN	0,669	0,406	0,000
10:00:49,875	20,284	23,740	23,542	-24,954	23,439	-0,001	25,081	23,777	22,598	23,106	22,981	-24,891	23,073	23,815	23,018	23,055	15,219	17,119	1,000	-0,031	1,057	-5,018	-3,991	0,062	-4,997	8,505	1,391	1,656	1,106	1,314	1,112	1,075	1,112	1,110	-15001,092	-2499,302	-69,252	1,006	1,012	7,180	4,907	0,518	7,002	16,319	41,246	25,597	23,589	23,857	1,031	8,994	109,855	1003,748	-25,008	1,695	1,653	NaN	0,672	0,406	0,531
10:00:50,469	20,231	23,689	23,552	-24,980	23,441	-0,001	24,919	23,765	22,611	23,126	22,914	-24,934	23,054	23,851	23,024	23,029	15,183	17,092	1,012	-0,046	1,059	-5,018	-3,991	-0,046	-4,991	8,505	1,388	1,671	1,128	1,309	1,122	1,075	1,122	1,124	-15001,101	-2499,659	-66,099	1,033	0,950	7,157	4,890	0,521	6,999	16,324	41,202	25,545	23,658	23,891	0,972	9,056	110,622	996,620	-25,012	1,690	1,652	NaN	0,670	0,404	1,188
10:00:51,016	20,258	23,716	23,576	-24,991	23,500	-0,001	24,999	23,751	22,603	23,096	22,907	-24,892	23,123	23,821	22,995	23,085	15,159	17,090	1,002	-0,063	1,059	-5,016	-3,992	-0,000	-4,993	8,490	1,399	1,674	1,134	1,297	1,100	1,073	1,123	1,118	-14999,885	-2501,260	-74,204	1,037	0,781	7,190	4,884	0,509	6,986	16,345	41,277	25,525	23,533	23,869	1,092	9,016	110,524	1001,535	-25,013	1,698	1,650	NaN	0,676	0,406	1,688
10:00:51,500	20,266	23,738	23,545	-24,926	23,514	-0,001	24,937	23,799	22,594	23,111	22,972	-24,909	23,045	23,798	23,032	23,110	15,189	17,093	1,008	-0,046	1,063	-5,015	-3,991	0,028	-4,993	8,502	1,405	1,683	1,124	1,285	1,120	1,075	1,110	1,134	-15002,064	-2499,857	-57,504	1,057	0,778	7,217	4,932	0,511	6,996	16,360	41,238	25,586	23,503	23,907	1,000	8,919	108,768	995,400	-25,005	1,704	1,652	NaN	0,670	0,405	2,235
10:00:52,016	20,291	23,717	23,544	-24,917	23,539	-0,001	24,970	23,755	22,574	23,079	22,994	-24,887	23,096	23,846	23,024	23,065	15,195	17,122	1,017	-0,068	1,063	-5,019	-3,989	0,013	-4,995	8,493	1,405	1,673	1,118	1,296	1,125	1,066	1,121	1,138	-15003,037	-2500,587	-60,908	1,095	0,965	7,186	4,899	0,514	6,989	16,277	41,220	25,612	23,486	23,864	0,985	8,995	109,943	1001,605	-25,010	1,697	1,650	NaN	0,672	0,409	2,719
10:00:52,547	20,268	23,692	23,535	-24,929	23,455	-0,001	24,810	23,770	22,579	23,114	22,958	-24,923	23,064	23,839	23,119	23,109	15,188	17,102	1,006	-0,053	1,057	-5,015	-3,993	-0,122	-4,992	8,516	1,402	1,662	1,109	1,308	1,113	1,088	1,116	1,129	-15001,254	-2500,056	-72,720	1,028	0,909	7,122	4,925	0,524	6,995	16,293	41,282	25,567	23,541	23,963	1,030	8,977	109,877	996,402	-25,006	1,682	1,652	NaN	0,665	0,409	3,235
10:00:53,047	20,244	23,732	23,516	-24,910	23,436	-0,001	24,909	23,798	22,655	23,138	22,935	-24,935	23,045	23,849	23,081	23,049	15,180	17,060	1,019	-0,046	1,052	-5,018	-3,989	-0,034	-4,996	8,507	1,398	1,668	1,118	1,289	1,121	1,096	1,111	1,114	-15000,598	-2499,809	-78,669	1,046	1,053	7,108	4,926	0,500	6,985	16,450	41,242	25,584	23,475	23,984	1,018	9,005	110,350	1004,955	-25,008	1,678	1,649	NaN	0,665	0,410	3,766
10:00:53,532	20,261	23,689	23,557	-24,939	23,430	-0,001	24,923	23,746	22,606	23,058	22,945	-24,953	23,071	23,850	23,090	23,040	15,204	17,083	1,012	-0,028	1,064	-5,017	-3,993	-0,034	-4,995	8,511	1,404	1,672	1,127	1,295	1,118	1,081	1,118	1,152	-15001,335	-2498,519	-50,582	1,033	0,866	7,081	4,911	0,518	6,995	16,353	41,258	25,579	23,463	23,844	0,972	9,020	109,561	1000,894	-25,012	1,672	1,651	NaN	0,665	0,410	4,266
10:00:53,938	20,275	23,729	23,550	-24,970	23,468	-0,001	25,133	23,772	22,639	23,087	22,984	-24,898	23,089	23,840	23,077	23,047	15,207	17,096	1,000	-0,060	1,056	-5,016	-3,986	-0,042	-4,994	8,504	1,405	1,674	1,123	1,310	1,124	1,070	1,105	1,128	-15001,044	-2499,504	-61,499	1,011	0,885	7,107	4,932	0,506	6,993	16,374	41,256	25,601	23,720	23,891	0,997	9,061	109,883	1003,257	-25,007	1,678	1,651	NaN	0,675	0,408	4,750
10:00:54,438	20,279	23,739	23,505	-24,904	23,454	-0,001	24,912	23,794	22,635	23,108	23,003	-24,924	23,100	23,834	23,129	23,067	15,176	17,084	1,009	-0,052	1,061	-5,017	-3,990	-0,010	-4,993	8,513	1,396	1,674	1,125	1,295	1,114	1,076	1,090	1,128	-15002,737	-2498,905	-69,000	1,043	0,989	7,193	4,964	0,514	6,998	16,356	41,260	25,539	23,581	23,528	1,021	8,932	110,427	995,004	-25,008	1,698	1,652	NaN	0,670	0,404	5,172
